Tabel 1
;;;;;;;;;;;;
;Race;Jaar;Etappe;Soort etappe;Uitslag;Uitslag rit;Algemeen;Punten;Jong;Berg;Uitvallers;Niet gestart
;Tour de France;2018;9;Kasseien;13;Gaviria Fernando;Roglic Primoz;;;;;
;Tour de France;2018;9;Kasseien;14;Chavanel Sylvain;Mollema Bauke;;;;;
;Tour de France;2018;9;Kasseien;15;Barguil Warren;Dumoulin Tom;;;;;
;Tour de France;2018;9;Kasseien;16;Thomas Geraint;Kruijswijk Steven;;;;;
;Tour de France;2018;9;Kasseien;17;Calmejane Lilian;Bardet Romain;;;;;
;Tour de France;2018;9;Kasseien;18;Valverde Alejandro;Barguil Warren;;;;;
;Tour de France;2018;9;Kasseien;19;Dumoulin Tom;Zakarin Ilnur;;;;;
;Tour de France;2018;9;Kasseien;20;Kruijswijk Steven;Pozzovivo Domenico;;;;;
;Tour de France;2018;10;Berg;1;Alaphilippe Julian;Van Avermaet Greg;Sagan Peter;Latour Pierre;Alaphilippe Julian;;24
;Tour de France;2018;10;Berg;2;Izagirre Ion;Thomas Geraint;Gaviria Fernando;Martin Guillaume;Taaramae Rein;;141
;Tour de France;2018;10;Berg;3;Taaramae Rein;Valverde Alejandro;Groenewegen Dylan;Kragh Andersen Soren;Pauwels Serge;;
;Tour de France;2018;10;Berg;4;Van Avermaet Greg;Fuglsang Jakob;Kristoff Alexander;Bernal Egan;Molard Rudy;;
;Tour de France;2018;10;Berg;5;Pauwels Serge;Jungels Bob;Demare Arnaud;Gaudu David;Gaudu David;;
;Tour de France;2018;10;Berg;6;Calmejane Lilian;Froome Chris;Greipel Andre;;;;
;Tour de France;2018;10;Berg;7;Martin Dan;Yates Adam;Degenkolb John;;;;
;Tour de France;2018;10;Berg;8;Roglic Primoz;Landa Mikel;Pasqualon Andrea;;;;
;Tour de France;2018;10;Berg;9;Gaudu David;Nibali Vincenzo;Gilbert Philippe;;;;
;Tour de France;2018;10;Berg;10;Thomas Geraint;Roglic Primoz;Van Avermaet Greg;;;;
;Tour de France;2018;10;Berg;11;Bardet Romain;Dumoulin Tom;;;;;
;Tour de France;2018;10;Berg;12;Kruijswijk Steven;Kruijswijk Steven;;;;;
